idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
107398,-0.044,0.064,0.006,-47.8,-44.3,-1.3,4,243.188,-7.062,84.806,34.177,177.585,43.83,4.99,33052.65,11581.96
107399,-0.042,0.065,0.007,-46.2,-45.2,6.1,5.25,243.5,-8.25,84.036,32.551,170.273,43.842,4.96,32945.09,11619.82
107400,-0.057,0.062,0.008,-49.5,-44.7,12.9,6.312,243.938,-6.938,82.875,41.964,164.33,43.844,4.96,32837.76,11657.41
107401,-0.069,0.047,0.004,-56.4,-44.6,17.8,4.812,241.438,-5.062,85.236,55.847,162.308,43.83,4.96,32709.61,11701.86
107402,-0.059,0.052,0.006,-64.9,-43.8,15.9,3.562,240.438,-5.75,83.541,48.364,164.416,43.868,4.93,32603.76,11740.55
107403,-0.048,0.061,0.014,-69.5,-44.4,9.3,4.25,241.438,-6.75,77.276,37.629,166.778,43.836,4.95,32497.55,11776.94
107404,-0.063,0.06,0.011,-68.1,-44.3,3.3,5,239.875,-6,79.778,46.361,171.907,43.88,4.97,32390.93,11816.43
107405,-0.046,0.05,0.009,-61,-43.8,-2.1,3.812,238.312,-4.438,79.992,42.225,175.739,43.857,5.05,32294.28,11850.04
107406,-0.06,0.037,0.002,-54.1,-43.5,-2.9,1.688,236.375,-5.312,86.987,58.044,180.532,43.884,5.09,32190.05,11888.34
107407,-0.058,0.039,0.014,-46.7,-44,2,2.25,233.188,-6.438,70.71,54.311,164.798,43.864,5.11,32092.06,11922.75
107408,-0.024,0.044,0.012,-46.2,-43.5,7.7,3.75,230.625,-6,75.069,28.227,162.638,43.873,5.09,31996.72,11957.47
107409,-0.042,0.038,0.013,-50.4,-43.5,14.7,4.625,227.5,-5.5,71.565,46.288,155.681,43.876,5.03,31900.71,11992.31
107410,-0.059,0.03,0.013,-56.7,-44.2,15.8,3.312,223,-5.25,67.249,60.74,151.345,43.87,5.07,31806.37,12026.31
107411,-0.034,0.031,0.011,-64.4,-44.9,16.5,3.312,216.312,-4.688,71.03,45.967,157.083,43.897,5.04,31711.94,12061.74
107412,-0.021,0.044,0.014,-69.6,-43.5,12.6,2.688,210.125,-4.125,72.719,25.024,162.481,43.881,5.06,31620.37,12094.59
107413,-0.02,0.039,0.012,-68.7,-43.1,5.8,0.562,204.25,-4.125,73.301,25.59,167.217,43.885,5.05,31532.77,12126.89
